isotope,atom_fraction
Y-91,0.000166022099181
Zr-90,2.29589864519649E-06
Zr-91,0.000241063993454
Zr-92,0.000427512224223
Zr-93,0.000462258286929
Zr-94,0.000468182647003
Zr-95,0.000209331935297
Zr-96,0.000472200410534
Nb-93,1.3626028170598E-11
Nb-94,1.10204371484118E-11
Nb-95,9.70209428353295E-05
Mo-94,4.69709197120789E-12
Mo-95,0.000173836690163
Mo-96,6.89982468994635E-07
Mo-97,0.000452668933691
Mo-98,0.000442555880114
Mo-99,1.02507067557177E-05
Mo-100,0.000492838386183
Tc-99,0.000463270228728
Ru-98,1.40373511444402E-18
Ru-99,1.5540080170007E-08
Ru-100,3.80581036637193E-06
Ru-101,0.000414185141662
Ru-102,0.000353507729404
Ru-103,8.04184601566252E-05
Ru-104,0.000170412635522
Ru-105,1.55702656756029E-07
Ru-106,4.10621979118893E-05
Rh-103,0.000177455314027
Rh-105,1.18887250352804E-06
Pd-104,6.77328195895749E-06
Pd-105,8.90299666702118E-05
Pd-106,1.07321292018925E-05
Pd-107,2.16536451753396E-05
Pd-108,1.14815843905267E-05
Pd-110,4.28245041015408E-06
Ag-107,4.92306503026789E-13
Ag-109,6.11427418287368E-06
Ag-111,2.00213548682244E-07
Cd-108,2.79213199155667E-13
Cd-110,1.81794935056922E-07
Cd-111,2.49054969619092E-06
Cd-112,1.46911582852226E-06
Cd-113,1.58426625875461E-07
Cd-114,2.85283031545964E-06
Cd-116,1.59577675576797E-06
In-113,2.20786970990161E-10
In-115,9.57489692712153E-07
Sn-112,1.453923063507E-18
Sn-114,8.49798355489086E-13
Sn-115,5.36291876211004E-08
Sn-116,1.00381353337807E-07
Sn-117,1.33468122438364E-06
Sn-118,1.54119736116198E-06
Sn-119,1.18201712063067E-06
Sn-120,1.58587554625174E-06
Sn-122,2.00295376860064E-06
Sn-123,5.79708088958382E-08
Sn-124,2.87718783639075E-06
Sn-125,6.83046167121421E-08
Sn-126,6.72063007254016E-06
Sb-121,1.24336097793645E-06
Sb-123,1.43047474455167E-06
Sb-124,3.65624664135636E-09
Sb-125,3.09905130252023E-06
Sb-126,6.09643564010891E-09
Te-120,1.97215909768102E-21
Te-122,5.53119386378714E-09
Te-123,4.57256766860526E-12
Te-124,3.51676596625217E-09
Te-125,1.64607380906804E-07
Te-126,1.06459368545887E-07
Te-128,3.60298558961525E-05
Te-130,0.000194447389752
Te-132,1.13663885001956E-05
I-127,1.2206491125815E-05
I-129,7.82959281441702E-05
I-130,2.38783714898722E-09
I-131,1.9278809614606E-05
I-135,1.38417817994503E-06
Xe-126,1.54164287013012E-13
Xe-128,4.09176347977405E-08
Xe-129,2.20123253547843E-11
Xe-130,3.1457297319567E-07
Xe-131,0.000277334787874
Xe-132,0.000447621953523
Xe-133,2.85722176100265E-05
Xe-134,0.000815937855507
Xe-135,9.70427636827482E-07
Xe-136,0.001053774181947
Cs-133,0.000655199129007
Cs-134,6.67103310476144E-06
Cs-135,0.000323423145228
Cs-136,1.74244012648081E-07
Cs-137,0.000654733617596
Ba-132,6.19591142827884E-13
Ba-134,3.58131021451269E-07
Ba-135,1.47045235542666E-10
Ba-136,1.03392630281586E-06
Ba-137,3.85828950441387E-06
Ba-138,0.000722576450624
Ba-140,6.90667098082396E-05
La-138,4.37524356380204E-10
La-139,0.000688009500707
La-140,9.12156882199834E-06
Ce-140,0.000616602595934
Ce-141,0.00016199524363
Ce-142,0.000649929394356
Ce-143,7.04957025535708E-06
Ce-144,0.000494699522627
Pr-141,0.000482725332606
Pr-142,8.98777065924277E-09
Pr-143,6.98673530681102E-05
Nd-142,5.77214147938821E-07
Nd-143,0.000584267736867
Nd-144,0.000119248203537
Nd-145,0.00044249860039
Nd-146,0.00034587134201
Nd-147,2.21365223446756E-05
Nd-148,0.000199073409405
Nd-150,7.87773505903449E-05
Pm-147,0.000210346604702
Pm-148,5.20634508986122E-07
Pm-149,2.24154655108445E-06
Pm-151,5.00221106225942E-07
Sm-147,1.31949755138814E-05
Sm-148,6.69389044243251E-06
Sm-149,1.00224970597973E-05
Sm-150,0.000112120060047
Sm-151,3.08618609456297E-05
Sm-152,5.1538841358588E-05
Sm-153,4.50596862387948E-07
Sm-154,1.00476819545264E-05
Eu-151,2.90478211635563E-08
Eu-152,2.75408188887033E-08
Eu-153,2.19574095554472E-05
Eu-154,8.8465625003846E-07
Eu-155,1.29151231457368E-06
Eu-156,8.88402162178668E-07
Eu-157,7.8853996316903E-09
Gd-152,6.06674110357998E-11
Gd-154,1.16354213648285E-08
Gd-155,2.44599879937777E-08
Gd-156,4.74136101540855E-06
Gd-157,1.17260688018136E-07
Gd-158,1.71664606642797E-06
Gd-160,1.24723417835326E-07
Tb-159,2.42842392518597E-07
Tb-160,1.44524927665807E-09
Dy-160,8.2468892452401E-10
Dy-161,3.3788763946056E-08
Dy-162,2.43438829014708E-08
Dy-163,1.28263850329008E-08
Dy-164,7.2216094532139E-09
Ho-165,3.65691945081844E-09
Er-162,2.97398147873213E-26
Er-164,6.00736112254188E-14
Er-166,1.3566384520987E-09
Er-167,5.09798639838793E-10
Er-168,5.49218909902624E-10
Er-170,8.08296922102698E-11
Lu-175,3.63653514252148E-12
Lu-176,1.12601937094247E-14
Hf-174,1.11448159786984E-25
Hf-176,2.92452089124978E-14
Hf-177,4.95293231517222E-13
Hf-178,3.73535630526885E-13
Hf-179,1.77468042854192E-13
Hf-180,8.60164167214938E-14
Ta-181,2.45824574999151E-14
Ta-182,8.98405202316184E-16
W-182,4.55786587265692E-16
W-183,1.41437277756063E-14
W-184,6.35366706309617E-15
W-186,1.77241651562223E-15
Re-185,1.18212622486776E-15
Re-187,1.05642905171638E-15
Ir-191,5.53086655107586E-17
Ir-193,2.43784325765504E-17
Au-197,1.18550845621766E-22
Hg-196,2.21372497062562E-25
Hg-198,1.66169389901192E-23
Hg-199,2.0820907085724E-23
Hg-200,1.57180109966669E-23
Hg-201,7.80694459320037E-28
Pb-206,5.5348852238088E-22
Pb-207,8.87194741954834E-19
Pb-208,5.18935210493392E-16
Bi-209,1.49472804817994E-21
Ra-223,3.12284511822636E-19
Ra-224,6.69272666390351E-17
Ra-225,1.20009205590914E-21
Ra-226,1.39476129094309E-19
Ac-225,6.24418096117292E-22
Ac-226,1.26066309153551E-23
Ac-227,3.71744502634601E-16
Th-227,6.22082356241517E-19
Th-228,1.42394667436558E-14
Th-229,3.20766457054674E-16
Th-230,9.23921955766409E-14
Th-232,2.81737143840428E-11
Th-234,1.03378992251949E-11
Pa-231,6.88707767824594E-11
Pa-232,1.89621345664424E-13
Pa-233,5.72283545624174E-13
U-232,9.2843159756627E-12
U-233,5.79162567772915E-11
U-234,1.33971820332946E-07
U-235,0.155383526862531
U-236,0.003882346988693
U-237,2.94746914911843E-06
U-238,0.715299198010189
Np-235,2.34831413910012E-15
Np-236,1.07474947152831E-12
Np-237,2.57049582592113E-05
Np-238,5.28035413068959E-08
Np-239,7.45805651903487E-05
Pu-236,1.79816511557628E-16
Pu-237,8.53635187826872E-14
Pu-238,9.99622112269731E-07
Pu-239,0.002661261459163
Pu-240,0.000383259545658
Pu-241,8.00870560364539E-05
Pu-242,3.22773975017193E-06
Pu-243,2.76050085481933E-10
Pu-244,1.75174126269302E-12
Pu-246,2.020019489686E-35
Am-241,4.53190815624844E-07
Am-242,1.45145912615264E-09
Am-243,3.46364129480743E-08
Am-244,7.74772826851792E-13
Cm-240,8.87344760280837E-19
Cm-241,2.97057197132296E-16
Cm-242,4.24314560874118E-08
Cm-243,5.34936256065118E-11
Cm-244,6.37216932330327E-10
Cm-245,2.3676164970459E-12
Cm-246,1.12052779100876E-14
Cm-247,6.22138726764015E-18
Cm-248,2.45986412950839E-20
Cm-249,9.98121929009696E-26
Cm-250,3.80836522392387E-29
Bk-249,2.39681097248815E-23
Cf-249,6.18464641579894E-25
Cf-251,6.73805947441583E-32
