isotope        atom fraction
Ba-137       1.5169309142935333e-05
Ba-138       0.0014377504794618327
Ba-140       6.738275008421692e-05
La-138       1.4624284422699672e-09
La-139       0.0013676628828055686
La-140       8.925557231522926e-06
Ce-140       0.001304604050058917
Ce-141       0.00016230352429627006
Ce-142       0.0012912557636173764
Ce-143       6.82979442465746e-06
Ce-144       0.0008014727631489459
Pr-141       0.0011176643900101195
Pr-142       2.226836069164381e-08
Pr-143       6.782320716543507e-05
Nd-142       3.0720972131147765e-06
Nd-143       0.0012339617902739515
Nd-144       0.0004115436743878879
Nd-145       0.0008694780998630349
Nd-146       0.0006950192694938413
Nd-147       2.1695693743354828e-05
Nd-148       0.0003972406399379264
Nd-150       0.0001595138415440462
Pm-147       0.0003890752712563845
Pm-148       1.0504319445409425e-06
Pm-149       2.38900683802329e-06
Pm-151       5.126051150049585e-07
Sm-147       5.2884674255392307e-05
Sm-148       2.9577184017059618e-05
Sm-149       1.0041584910661464e-05
Sm-150       0.0002431215792833666
Sm-151       4.15484510453122e-05
Sm-152       0.00012183402942885517
Sm-153       6.807553342480342e-07
Sm-154       2.172051719157377e-05
Eu-151       4.645803808975735e-08
Eu-152       8.356609254047693e-08
Eu-153       5.5260905655779106e-05
Eu-154       3.638662866988045e-06
Eu-155       1.899866701213863e-06
Eu-156       1.3188707131561767e-06
Eu-157       1.0799291115820583e-08
Gd-152       4.5770073953403827e-10
Gd-154       9.446276795315643e-08
Gd-155       3.785266696890607e-08
Gd-156       1.402915816411736e-05
Gd-157       1.5507289937916303e-07
Gd-158       4.785251575234228e-06
Gd-160       3.9251781978960475e-07
Tb-159       6.99409291764942e-07
Tb-160       5.889676792860912e-09
Dy-160       6.507435125661888e-09
Dy-161       1.3102507025658633e-07
Dy-162       9.77498289535767e-08
Dy-163       5.096935882211838e-08
Dy-164       2.473833925361937e-08
Ho-165       1.9432122607961684e-08
Er-162       1.6901767600501232e-23
Er-164       2.05512691305944e-13
Er-166       6.129964134484995e-09
Er-167       1.780195857986944e-09
Er-168       3.071497085795198e-09
Er-170       4.1010609667235144e-10
Lu-175       1.6465129511316776e-11
Lu-176       6.402403751897421e-14
Hf-174       2.280120100872439e-23
Hf-176       2.219279920640594e-13
Hf-177       2.9387234627574755e-12
Hf-178       2.6242931186508832e-12
Hf-179       1.1958173341279957e-12
Hf-180       5.545340103995309e-13
Ta-181       1.90979608050144e-13
Ta-182       2.9351045131636516e-15
W-182       2.3580820953886306e-15
W-183       8.932631459623416e-14
W-184       4.26734169843772e-14
W-186       1.1410602626355176e-14
Re-185       9.146031278762732e-15
Re-187       6.533031465125742e-15
Ir-191       9.036535321454127e-17
Ir-193       4.6540328275245046e-17
Au-197       7.642585043483371e-21
Hg-196       2.6879884500698154e-23
Hg-198       1.919452674643753e-21
Hg-199       2.2178796235615765e-21
Hg-200       1.7815506908750843e-21
Hg-201       1.9485952209960269e-25
Pb-206       1.3285273072984902e-20
Pb-207       9.034571268408231e-18
Pb-208       8.138672108658832e-15
Bi-209       4.8951839887752545e-20
Ra-223       1.4045979914741915e-18
Ra-224       4.956851617281064e-16
Ra-225       1.8342527809399135e-20
Ra-226       1.0758009630504102e-18
Ac-225       1.0707999020539202e-20
Ac-226       2.3708211616724177e-23
Ac-227       1.3052860129220748e-15
Th-227       2.5112691401302082e-18
Th-228       1.0096687510004612e-13
Th-229       4.1467706642314326e-15
Th-230       3.565329127103151e-13
Th-232       1.0904677110273893e-10
Th-234       1.0336738437836132e-11
Pa-231       1.1217016101600134e-10
Pa-232       3.297617785541951e-13
Pa-233       2.8049587203586297e-12
U-232       3.390610241562139e-11
U-233       1.3683266599923755e-10
U-234       2.680459580060554e-07
U-235       0.13525960499488707
U-236       0.007439169160660683
U-237       6.056166659853153e-06
U-238       0.7111308694568972
Np-235       2.4123572464578113e-14
Np-236       7.843573138513219e-12
Np-237       0.00010264268517577904
Np-238       2.281993225536579e-07
Np-239       7.952878146220139e-05
Pu-236       4.505037581181803e-15
Pu-237       6.303264537270638e-13
Pu-238       8.870900181250377e-06
Pu-239       0.0039199316302688195
Pu-240       0.0010449489631211544
Pu-241       0.00043139970511158843
Pu-242       3.9814992375547e-05
Pu-243       3.6508654558194807e-09
Pu-244       5.844876379170536e-11
Pu-246       8.085933647241301e-32
Am-241       4.588373443059678e-06
Am-242       1.574497672782221e-08
Am-243       9.456006132163361e-07
Am-244       2.2710636340497044e-11
Cm-240       4.447998207307291e-17
Cm-241       9.344709792896018e-15
Cm-242       8.812687831251233e-07
Cm-243       2.4702240686062883e-09
Cm-244       3.8027249461874444e-08
Cm-245       2.979022921551009e-10
Cm-246       3.0438003007128186e-12
Cm-247       3.605546750353105e-15
Cm-248       3.043091059335134e-17
Cm-249       1.3183887927328788e-22
Cm-250       1.1028976208132107e-25
Bk-249       6.292253110240185e-20
Cf-249       4.072545826205345e-21
Cf-251       5.448092199709017e-28
